Timestamp start (Europe/Brussels),Timestamp end (Europe/Brussels),Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh),dtbe,dtutc
02/01/2024 00:00,02/01/2024 00:15,15.09,2024-01-02 00:00:00+01:00,2024-01-01 23:00:00+00:00
02/01/2024 00:15,02/01/2024 00:30,15.09,2024-01-02 00:15:00+01:00,2024-01-01 23:15:00+00:00
02/01/2024 00:30,02/01/2024 00:45,15.09,2024-01-02 00:30:00+01:00,2024-01-01 23:30:00+00:00
02/01/2024 00:45,02/01/2024 01:00,15.09,2024-01-02 00:45:00+01:00,2024-01-01 23:45:00+00:00
02/01/2024 01:00,02/01/2024 01:15,15.49,2024-01-02 01:00:00+01:00,2024-01-02 00:00:00+00:00
02/01/2024 01:15,02/01/2024 01:30,15.49,2024-01-02 01:15:00+01:00,2024-01-02 00:15:00+00:00
02/01/2024 01:30,02/01/2024 01:45,15.49,2024-01-02 01:30:00+01:00,2024-01-02 00:30:00+00:00
02/01/2024 01:45,02/01/2024 02:00,15.49,2024-01-02 01:45:00+01:00,2024-01-02 00:45:00+00:00
02/01/2024 02:00,02/01/2024 02:15,9.8,2024-01-02 02:00:00+01:00,2024-01-02 01:00:00+00:00
02/01/2024 02:15,02/01/2024 02:30,9.8,2024-01-02 02:15:00+01:00,2024-01-02 01:15:00+00:00
02/01/2024 02:30,02/01/2024 02:45,9.8,2024-01-02 02:30:00+01:00,2024-01-02 01:30:00+00:00
02/01/2024 02:45,02/01/2024 03:00,9.8,2024-01-02 02:45:00+01:00,2024-01-02 01:45:00+00:00
02/01/2024 03:00,02/01/2024 03:15,2.12,2024-01-02 03:00:00+01:00,2024-01-02 02:00:00+00:00
02/01/2024 03:15,02/01/2024 03:30,2.12,2024-01-02 03:15:00+01:00,2024-01-02 02:15:00+00:00
02/01/2024 03:30,02/01/2024 03:45,2.12,2024-01-02 03:30:00+01:00,2024-01-02 02:30:00+00:00
02/01/2024 03:45,02/01/2024 04:00,2.12,2024-01-02 03:45:00+01:00,2024-01-02 02:45:00+00:00
02/01/2024 04:00,02/01/2024 04:15,1.3,2024-01-02 04:00:00+01:00,2024-01-02 03:00:00+00:00
02/01/2024 04:15,02/01/2024 04:30,1.3,2024-01-02 04:15:00+01:00,2024-01-02 03:15:00+00:00
02/01/2024 04:30,02/01/2024 04:45,1.3,2024-01-02 04:30:00+01:00,2024-01-02 03:30:00+00:00
02/01/2024 04:45,02/01/2024 05:00,1.3,2024-01-02 04:45:00+01:00,2024-01-02 03:45:00+00:00
02/01/2024 05:00,02/01/2024 05:15,2.36,2024-01-02 05:00:00+01:00,2024-01-02 04:00:00+00:00
02/01/2024 05:15,02/01/2024 05:30,2.36,2024-01-02 05:15:00+01:00,2024-01-02 04:15:00+00:00
02/01/2024 05:30,02/01/2024 05:45,2.36,2024-01-02 05:30:00+01:00,2024-01-02 04:30:00+00:00
02/01/2024 05:45,02/01/2024 06:00,2.36,2024-01-02 05:45:00+01:00,2024-01-02 04:45:00+00:00
02/01/2024 06:00,02/01/2024 06:15,13.35,2024-01-02 06:00:00+01:00,2024-01-02 05:00:00+00:00
02/01/2024 06:15,02/01/2024 06:30,13.35,2024-01-02 06:15:00+01:00,2024-01-02 05:15:00+00:00
