4hour_block,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_block_volatility,day_of_week,is_weekend,hour_block
2024-08-12 20:00:00+00:00,21846.75,24782.0,19728.0,5054.0,2208.441588541567,82.72749999999999,95.01,71.94,23.070000000000007,10.111318328157486,,23.070000000000007,0.12222439126236719,0.0,0.0,0.0,0.0,0.0,4924.843124999999,5291.185,4445.6375,845.5475000000006,369.72376240227743,10.111318328157486,0,0,5
2024-08-13 00:00:00+00:00,18518.75,18939.0,18101.5,837.5,357.35008511728824,64.25750000000001,68.45,61.5,6.950000000000003,2.993508253983383,,6.950000000000003,0.04658613008572367,0.0,0.0,0.0,0.0,0.0,4712.820625,5015.195,4457.0875,558.1075000000001,252.18239231403405,2.993508253983383,1,0,0
2024-08-13 04:00:00+00:00,23132.0,24340.0,21041.0,3299.0,1496.595191314828,78.1925,82.71,69.69,13.019999999999996,5.879083687106356,,13.019999999999996,0.07518730935967452,1350.36875,3444.115,0.78,3443.3349999999996,1557.7666417148566,4733.205,5097.165,4432.145,665.0199999999995,299.3613973388461,5.879083687106356,1,0,1
2024-08-13 08:00:00+00:00,22649.375,23194.0,22310.0,884.0,382.66464321474314,47.285000000000004,71.06,31.41,39.650000000000006,17.344041243800902,,39.650000000000006,0.3667979537654837,6876.6125,7781.385,5299.175,2482.21,1137.1605597990551,6061.138125,6703.02,5378.6975,1324.3225000000002,573.4326521098443,17.344041243800902,1,0,2
2024-08-13 12:00:00+00:00,24194.625,26642.5,22412.5,4230.0,1825.5068873694593,39.5575,57.79,28.43,29.36,13.203306088501725,,29.36,0.3337750385767989,5912.4825,7414.44,4105.59,3308.8499999999995,1440.8805776648067,6855.9275,6966.585,6617.995000000001,348.58999999999924,160.9418253852407,13.203306088501725,1,0,3
2024-08-13 16:00:00+00:00,27445.375,27879.0,26844.5,1034.5,488.9035990526835,92.1725,98.24,81.52,16.72,7.389241616476391,,16.72,0.08016752953946561,1130.363125,2719.6375,21.75,2697.8875,1206.3483343258404,5429.940625,6066.9525,4949.264999999999,1117.687500000001,485.4358289223853,7.389241616476391,1,0,4
2024-08-13 20:00:00+00:00,21892.375,24629.5,19876.0,4753.5,2088.8094047008376,78.075,90.39,67.81,22.58,9.638888248479002,,22.58,0.12345678192096067,0.0,0.0,0.0,0.0,0.0,4474.0043749999995,4673.24,4041.405,631.8349999999996,298.62528843557254,9.638888248479002,1,0,5
2024-08-14 00:00:00+00:00,19049.0,19345.0,18632.5,712.5,309.5472500281659,62.0125,63.82,59.96,3.8599999999999994,1.935310052678897,,3.8599999999999994,0.031208386255656476,0.0,0.0,0.0,0.0,0.0,3285.118125,3752.475,2764.5525,987.9225000000001,426.1471121933471,1.935310052678897,2,0,0
2024-08-14 04:00:00+00:00,25046.75,27086.0,21860.5,5225.5,2369.7696969677595,86.7125,94.83,73.22,21.61,9.798290242009916,,21.61,0.11299743684024696,727.38,1917.4075,1.7775,1915.63,870.5927947620901,2054.810625,2439.5550000000003,1730.69,708.8650000000002,309.4773571171713,9.798290242009916,2,0,1
2024-08-14 08:00:00+00:00,25968.875,26683.5,24994.5,1689.0,723.9789793219142,85.0225,91.49,79.58,11.909999999999997,5.2171088736962306,,11.909999999999997,0.06136150870294608,4831.205,6125.4225,3210.8275000000003,2914.5949999999993,1265.3791416887007,1516.7,1614.8175,1438.4625,176.35500000000002,75.04427551452547,5.2171088736962306,2,0,2
2024-08-14 12:00:00+00:00,24901.625,26303.0,24076.0,2227.0,972.5546578470538,72.44,75.42,69.25,6.170000000000002,3.363024432461549,,6.170000000000002,0.046424964556343894,6232.844375000001,6626.587500000001,5416.105,1210.482500000001,561.8909236281804,2355.339375,3090.105,1736.385,1353.72,591.7981636728543,3.363024432461549,2,0,3
