date,closest_reference_days,distance
2024-10-08,"[Timestamp('2024-09-25 00:00:00'), Timestamp('2024-10-07 00:00:00'), Timestamp('2024-09-05 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-28 00:00:00')]",4548.76218392813
2024-10-09,"[Timestamp('2024-09-26 00:00:00'), Timestamp('2024-09-27 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('2024-10-06 00:00:00'), Timestamp('2024-09-30 00:00:00')]",3071.5545725516386
2024-10-10,"[Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-06 00:00:00'), Timestamp('2024-10-09 00:00:00'), Timestamp('2024-09-12 00:00:00'), Timestamp('2024-10-01 00:00:00')]",5024.395161709713
2024-10-11,"[Timestamp('2024-10-02 00:00:00'), Timestamp('2024-10-07 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('2024-10-03 00:00:00'), Timestamp('2024-09-12 00:00:00')]",3873.1434185117637
2024-10-12,"[Timestamp('2024-10-05 00:00:00'), Timestamp('2024-09-26 00:00:00'), Timestamp('2024-08-27 00:00:00'), Timestamp('2024-08-15 00:00:00'), Timestamp('2024-10-06 00:00:00')]",4629.89067703639
2024-10-13,"[Timestamp('2024-10-08 00:00:00'), Timestamp('2024-09-25 00:00:00'), Timestamp('2024-09-29 00:00:00'), Timestamp('2024-10-10 00:00:00'), Timestamp('2024-09-30 00:00:00')]",7674.553141284229
2024-10-14,"[Timestamp('2024-10-07 00:00:00'), Timestamp('2024-10-03 00:00:00'), Timestamp('2024-09-23 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-10-02 00:00:00')]",4477.507283002965
2024-10-15,"[Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-10 00:00:00'), Timestamp('2024-10-06 00:00:00'), Timestamp('2024-10-08 00:00:00'), Timestamp('2024-10-13 00:00:00')]",5028.748316236113
2024-10-16,"[Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-15 00:00:00'), Timestamp('2024-10-10 00:00:00'), Timestamp('2024-10-06 00:00:00'), Timestamp('2024-10-09 00:00:00')]",4292.608585905232
2024-10-17,"[Timestamp('2024-10-07 00:00:00'), Timestamp('2024-10-03 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-10-14 00:00:00'), Timestamp('2024-10-02 00:00:00')]",1906.7065501452348
2024-10-18,"[Timestamp('2024-09-29 00:00:00'), Timestamp('2024-10-15 00:00:00'), Timestamp('2024-10-13 00:00:00'), Timestamp('2024-10-12 00:00:00'), Timestamp('2024-10-08 00:00:00')]",5828.491428223889
2024-10-19,"[Timestamp('2024-09-05 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-10-08 00:00:00'), Timestamp('2024-09-15 00:00:00'), Timestamp('2024-09-06 00:00:00')]",3427.9717557328377
2024-10-20,"[Timestamp('2024-08-22 00:00:00'), Timestamp('2024-09-29 00:00:00'), Timestamp('2024-10-18 00:00:00'), Timestamp('2024-10-06 00:00:00'), Timestamp('2024-10-12 00:00:00')]",6237.264890242469
2024-10-21,"[Timestamp('2024-10-16 00:00:00'), Timestamp('2024-09-27 00:00:00'), Timestamp('2024-10-09 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-09-10 00:00:00')]",8232.143339081547
2024-10-22,"[Timestamp('2024-10-10 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-02 00:00:00'), Timestamp('2024-10-15 00:00:00'), Timestamp('2024-10-01 00:00:00')]",1574.3266317896614
2024-10-23,"[Timestamp('2024-10-22 00:00:00'), Timestamp('2024-10-10 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-15 00:00:00'), Timestamp('2024-10-16 00:00:00')]",2464.697474450649
2024-10-24,"[Timestamp('2024-10-16 00:00:00'), Timestamp('2024-10-15 00:00:00'), Timestamp('2024-09-30 00:00:00'), Timestamp('2024-10-10 00:00:00'), Timestamp('2024-10-23 00:00:00')]",4316.706752402137
2024-10-25,"[Timestamp('2024-10-14 00:00:00'), Timestamp('2024-10-17 00:00:00'), Timestamp('2024-10-03 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-23 00:00:00')]",4166.342859736664
2024-10-26,"[Timestamp('2024-09-05 00:00:00'), Timestamp('2024-10-19 00:00:00'), Timestamp('2024-09-06 00:00:00'), Timestamp('2024-09-24 00:00:00'), Timestamp('2024-09-20 00:00:00')]",2812.3110844692656
2024-10-27,"[Timestamp('2024-09-12 00:00:00'), Timestamp('2024-09-09 00:00:00'), Timestamp('2024-10-02 00:00:00'), Timestamp('2024-10-01 00:00:00'), Timestamp('2024-10-22 00:00:00')]",4222.24704096421
2024-10-28,"[Timestamp('2024-10-08 00:00:00'), Timestamp('2024-10-22 00:00:00'), Timestamp('2024-10-13 00:00:00'), Timestamp('2024-10-23 00:00:00'), Timestamp('2024-10-10 00:00:00')]",7500.845092752557
2024-10-29,"[Timestamp('2024-10-14 00:00:00'), Timestamp('2024-10-25 00:00:00'), Timestamp('2024-09-23 00:00:00'), Timestamp('2024-10-03 00:00:00'), Timestamp('2024-10-07 00:00:00')]",3806.6472808793815
2024-10-30,"[Timestamp('2024-10-25 00:00:00'), Timestamp('2024-10-29 00:00:00'), Timestamp('2024-10-14 00:00:00'), Timestamp('2024-10-17 00:00:00'), Timestamp('2024-10-03 00:00:00')]",3649.229230703761
2024-10-31,"[Timestamp('2024-09-01 00:00:00'), Timestamp('2024-09-02 00:00:00'), Timestamp('2024-09-03 00:00:00'), Timestamp('2024-09-04 00:00:00'), Timestamp('2024-09-05 00:00:00')]",
