date,demand_National Demand Forecast (NDF) - GB (MW)_mean,demand_National Demand Forecast (NDF) - GB (MW)_max,demand_National Demand Forecast (NDF) - GB (MW)_min,demand_National Demand Forecast (NDF) - GB (MW)_spread,demand_National Demand Forecast (NDF) - GB (MW)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_mean,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_max,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_min,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_spread,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_std,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_rolling_std_7d,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_price_range,price_Price average forecast ECMWF ENS United Kingdom day-ahead (£/MWh)_cv,solar_solar_fc_meteo_mw_mean,solar_solar_fc_meteo_mw_max,solar_solar_fc_meteo_mw_min,solar_solar_fc_meteo_mw_spread,solar_solar_fc_meteo_mw_std,wind_wind_fc_meteo_mw_mean,wind_wind_fc_meteo_mw_max,wind_wind_fc_meteo_mw_min,wind_wind_fc_meteo_mw_spread,wind_wind_fc_meteo_mw_std,price_intraday_volatility,day_of_week,is_weekend,month,price_1,price_2,price_3,price_4,price_5,price_6,is_holiday,month_sin,month_cos
2024-04-02,27834.25,33919.0,21072.5,12846.5,4385.579940332121,71.03500000000001,89.87,54.37,35.50000000000001,10.598286982174134,13.727120011478124,35.50000000000001,0.1491980992774566,1725.5291666666665,5847.14,0.0,5847.14,2246.523476811457,4583.310937499999,7482.467500000001,3626.55,3855.917500000001,1029.6206821799583,,1,0,4,0.93,2.5,1.0,1.49,2.0,0.64,False,0.8660254037844387,-0.4999999999999998
2024-04-03,26985.166666666668,32672.5,20589.0,12083.5,3845.893825736816,61.93125,76.58,47.65,28.93,9.658385098834655,9.407326931705953,28.93,0.1559533369475774,1420.591458333333,4737.795,0.0,4737.795,1826.1463617951824,9674.090416666668,11474.48,7865.0875,3609.3925,1069.4592098187393,,2,0,4,1.0,2.95,0.94,2.59,1.68,0.5,False,0.8660254037844387,-0.4999999999999998
2024-04-04,27770.9375,34065.5,20400.0,13665.5,4320.681758081653,67.31958333333334,86.84,35.85,50.99,12.773438636539865,18.477650335060492,50.99,0.1897432812869934,1601.631875,5628.46,0.0,5628.46,2130.1855990579397,5612.389270833333,10585.185,3479.425,7105.759999999999,1974.6733530405509,,3,0,4,0.89,1.63,0.96,1.49,1.64,1.08,False,0.8660254037844387,-0.4999999999999998
2024-04-05,24604.9375,29963.0,19356.0,10607.0,3430.1975235067357,41.71333333333333,67.89,14.43,53.46,16.852878393465243,15.474863181178398,53.46,0.4040165828703509,1997.876875,6931.39,0.0,6931.39,2659.467755931897,12557.124583333332,13204.1,11708.6675,1495.4325000000008,479.03884300428473,,4,0,4,0.85,4.19,2.69,2.52,2.9,1.2,False,0.8660254037844387,-0.4999999999999998
2024-04-06,20482.52083333333,25469.5,17525.5,7944.0,2468.239054904487,10.284166666666666,39.85,-16.23,56.08,14.673100178237034,24.10081306670359,56.08,1.4267660816695928,1811.4878125,5517.4775,0.0,5517.4775,2243.990855159706,14527.118645833332,15400.275,11987.1275,3413.147499999999,1078.6012704880145,,5,1,4,1.49,2.75,1.37,3.28,3.39,0.57,False,0.8660254037844387,-0.4999999999999998
2024-04-07,19937.875,26759.0,15610.0,11149.0,3409.8018980133825,0.7429166666666669,40.9,-16.79,57.69,19.179708588974208,15.940907992302304,57.69,25.8167698337286,1999.1576041666667,6471.5725,0.0,6471.5725,2486.853940003868,14846.806145833332,15447.61,12588.435,2859.175000000001,668.9931357600093,,6,1,4,0.4,1.2,0.51,2.89,2.93,1.5,False,0.8660254037844387,-0.4999999999999998
2024-04-08,26424.89583333333,31869.0,18921.5,12947.5,4307.241127448275,57.92791666666667,80.64,8.76,71.88,20.00035977484376,10.573030830957634,71.88,0.3452628874939762,1403.0348958333334,4799.99,0.0,4799.99,1796.2135771314768,6614.857395833334,11671.0125,4629.075,7041.937500000001,1908.5869524354357,,0,0,4,0.96,1.73,0.99,2.5,2.98,1.2,False,0.8660254037844387,-0.4999999999999998
2024-04-09,25686.229166666668,30575.0,19811.5,10763.5,3404.07266622474,49.380833333333335,68.14,28.01,40.13,11.690336372096128,10.81144763664885,40.13,0.2367383371840517,1466.477708333333,4409.5525,0.0,4409.5525,1759.9547507637303,12193.288645833332,14915.555,7105.24,7810.315,2504.837665786532,,1,0,4,0.9,3.0,2.0,2.94,3.31,0.78,False,0.8660254037844387,-0.4999999999999998
2024-04-10,26922.791666666668,31886.5,19675.0,12211.5,4021.72506496757,50.39458333333334,73.35,-6.03,79.38,19.668647525211657,27.48400019405229,79.38,0.3902928891209203,1048.6688541666667,3709.935,0.0,3709.935,1354.9535686780407,11179.878333333334,14903.1325,5855.485000000001,9047.6475,3588.3851818439907,,2,0,4,1.77,5.0,1.16,1.55,3.11,1.68,False,0.8660254037844387,-0.4999999999999998
2024-04-11,25804.27083333333,31836.5,19210.5,12626.0,4146.319428589038,39.31875,74.38,-8.01,82.39,26.34392518251103,22.9658679451962,82.39,0.6700092241617812,1745.4266666666665,5834.905,0.0,5834.905,2213.083508229925,10683.255416666669,14475.7775,7424.9,7050.8775000000005,2480.193156837205,,3,0,4,0.87,1.33,0.97,1.84,4.0,0.64,False,0.8660254037844387,-0.4999999999999998
