dtutc,dcl_price
2024-06-14 06:00:00+00:00,3.0
2024-06-14 10:00:00+00:00,1.25
2024-06-14 14:00:00+00:00,1.94
2024-06-14 18:00:00+00:00,3.37
2024-06-14 22:00:00+00:00,0.97
2024-06-15 02:00:00+00:00,0.7
2024-06-15 06:00:00+00:00,2.5
2024-06-15 10:00:00+00:00,1.64
2024-06-15 14:00:00+00:00,2.53
2024-06-15 18:00:00+00:00,2.02
2024-06-15 22:00:00+00:00,1.1
2024-06-16 02:00:00+00:00,0.7
2024-06-16 06:00:00+00:00,1.61
2024-06-16 10:00:00+00:00,1.5
2024-06-16 14:00:00+00:00,1.56
2024-06-16 18:00:00+00:00,2.76
2024-06-16 22:00:00+00:00,1.1
2024-06-17 02:00:00+00:00,2.19
2024-06-17 06:00:00+00:00,4.49
2024-06-17 10:00:00+00:00,1.3
2024-06-17 14:00:00+00:00,1.75
2024-06-17 18:00:00+00:00,4.0
2024-06-17 22:00:00+00:00,0.9
2024-06-18 02:00:00+00:00,1.5
2024-06-18 06:00:00+00:00,2.11
2024-06-18 10:00:00+00:00,1.82
2024-06-18 14:00:00+00:00,2.45
2024-06-18 18:00:00+00:00,2.97
2024-06-18 22:00:00+00:00,1.0
2024-06-19 02:00:00+00:00,0.1
2024-06-19 06:00:00+00:00,3.0
2024-06-19 10:00:00+00:00,1.2
2024-06-19 14:00:00+00:00,0.99
2024-06-19 18:00:00+00:00,2.0
2024-06-19 22:00:00+00:00,0.95
2024-06-20 02:00:00+00:00,0.5
2024-06-20 06:00:00+00:00,1.93
2024-06-20 10:00:00+00:00,0.75
2024-06-20 14:00:00+00:00,2.08
2024-06-20 18:00:00+00:00,2.34
2024-06-20 22:00:00+00:00,0.6
2024-06-21 02:00:00+00:00,1.19
2024-06-21 06:00:00+00:00,2.3
2024-06-21 10:00:00+00:00,1.5
2024-06-21 14:00:00+00:00,1.65
2024-06-21 18:00:00+00:00,2.06
2024-06-21 22:00:00+00:00,0.6
