dtutc,Unnamed: 0,imb,bpx,nrv,si
2023-01-14 02:00:00,1257.5,142.07,48.95,-4.300000000000001,-24.825000000000003
2023-01-14 03:00:00,1261.5,61.345,42.86,-42.55,17.89999999999999
2023-01-14 04:00:00,1265.5,17.7425,42.5,-50.050000000000004,26.1
2023-01-14 05:00:00,1269.5,5.087500000000001,46.1,-67.8,55.175
2023-01-14 06:00:00,1273.5,24.1175,54.9,-43.175,27.549999999999997
2023-01-14 07:00:00,1277.5,83.055,60.65,42.5,-98.07499999999999
2023-01-14 08:00:00,1281.5,174.6725,69.68,30.700000000000003,-43.575
2023-01-14 09:00:00,1285.5,12.290000000000001,68.0,-48.449999999999996,26.425
2023-01-14 10:00:00,1289.5,77.4025,72.53,-15.024999999999999,-31.375
2023-01-14 11:00:00,1293.5,144.5225,68.27,66.775,-106.77499999999999
2023-01-14 12:00:00,1297.5,101.6075,46.9,75.875,-105.375
2023-01-14 13:00:00,1301.5,72.215,50.91,-32.3,0.8250000000000011
2023-01-14 14:00:00,1305.5,168.29250000000002,37.86,66.425,-93.075
2023-01-14 15:00:00,1309.5,40.5125,42.97,-119.8,106.725
2023-01-14 16:00:00,1313.5,-39.332499999999996,62.33,-146.85,118.925
2023-01-14 17:00:00,1317.5,-33.6725,68.56,-94.89999999999999,88.5
2023-01-14 18:00:00,1321.5,50.555,69.78,49.325,-51.725
2023-01-14 19:00:00,1325.5,71.3125,62.1,34.8,-49.2
2023-01-14 20:00:00,1329.5,61.8025,48.07,-41.15,31.900000000000002
2023-01-14 21:00:00,1333.5,73.1875,46.27,-3.8499999999999988,-14.575
2023-01-14 22:00:00,1337.5,-7.845000000000001,36.07,-121.65,127.30000000000001
2023-01-14 23:00:00,1341.5,73.315,28.7,-42.825,37.85
2023-01-15 00:00:00,1345.5,27.1025,16.62,-67.725,77.425
2023-01-15 01:00:00,1349.5,48.68000000000001,14.98,-21.325,23.625
2023-01-15 02:00:00,1353.5,129.7775,4.46,36.425,-27.725
2023-01-15 03:00:00,1357.5,97.32499999999999,2.99,4.35,-5.699999999999999
2023-01-15 04:00:00,1361.5,86.36749999999999,4.09,0.8249999999999993,-8.174999999999999
2023-01-15 05:00:00,1365.5,45.839999999999996,2.75,-34.6,32.5
2023-01-15 06:00:00,1369.5,168.445,2.91,16.125,-22.5
2023-01-15 07:00:00,1373.5,57.377500000000005,12.38,-42.175,32.175
2023-01-15 08:00:00,1377.5,100.98,23.46,-87.30000000000001,82.125
2023-01-15 09:00:00,1381.5,-13.832499999999996,26.24,-91.875,96.575
2023-01-15 10:00:00,1385.5,-70.0025,38.46,-54.525000000000006,45.675
2023-01-15 11:00:00,1389.5,-63.6125,38.86,-139.825,160.25
2023-01-15 12:00:00,1393.5,196.215,28.63,84.82499999999999,-127.525
2023-01-15 13:00:00,1397.5,294.9775,34.02,58.849999999999994,-68.85
2023-01-15 14:00:00,1401.5,75.6075,36.99,-49.15,33.3
2023-01-15 15:00:00,1405.5,-37.095,22.91,-115.9,105.1
2023-01-15 16:00:00,1409.5,138.45999999999998,59.84,-28.424999999999997,2.725000000000005
2023-01-15 17:00:00,1413.5,-164.8,87.63,-196.625,178.65
2023-01-15 18:00:00,1417.5,1.3674999999999997,94.05,-50.8,30.4
2023-01-15 19:00:00,1421.5,-20.442500000000003,86.48,-25.275000000000002,4.374999999999999
2023-01-15 20:00:00,1425.5,-315.79999999999995,77.7,-142.375,166.075
2023-01-15 21:00:00,1429.5,-149.6275,84.44,-149.65,125.925
2023-01-15 22:00:00,1433.5,-70.81,75.61,-22.4,32.775000000000006
2023-01-15 23:00:00,1437.5,-61.06250000000001,60.01,-30.45,31.724999999999998
2023-01-16 00:00:00,1441.5,-135.7525,60.01,-181.45,240.35000000000002
2023-01-16 01:00:00,1445.5,60.0775,62.72,-93.5,72.55
2023-01-16 02:00:00,1449.5,137.195,56.1,-60.324999999999996,28.875
2023-01-16 03:00:00,1453.5,-31.8,63.3,-172.8,177.175
2023-01-16 04:00:00,1457.5,-148.1025,87.0,-128.1,120.25
2023-01-16 05:00:00,1461.5,-87.7125,154.63,-174.35000000000002,147.025
